trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.5, 'e': 0.20846168908963156}",25,18,2.4039252726158233,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.20680064859775518}",20,8,11.33217184595166,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.20515284341797718}",20,14,-7.955964189220698,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.20351816809020357}",25,3,30.699357002330277,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.2018965179946554}",25,16,8.164695101165806,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.20028778934517308}",20,14,10.532312154056173,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.19869187918257386}",30,10,5.347348797915135,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.19710868536806267}",25,7,15.81809137127894,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.1955381065766949}",20,11,16.159278080129923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,10,-24.077890622559778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.19243439279400748}",20,13,11.978650885205479,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.1909010591639463}",20,14,1.8783311275822707,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.18937994326683266}",20,16,8.045785241310593,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.18787094775072993}",30,13,27.129957880046476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.18637397603941}",20,3,1.4311998557971464,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.18488893232617234}",20,10,-2.7038936692612534,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.18341572156771246}",35,10,-9.75904730705823,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.18195424947803895}",30,6,23.382626354101458,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.18050442252243923}",25,2,39.248926173647085,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.17906614791149325}",25,4,5.2536449117216915,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.17763933359513498}",25,0,-31.645222084091877,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.17622388825676114}",25,19,12.93416335430131,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.17481972130738696}",35,20,-13.169355977319448,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
220,False,"{'a': 0.5, 'e': 0.17342674287984836}",20,4,28.875566321589623,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.17204486382305054}",30,15,4.462288898386785,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.17067399569626218}",25,11,29.106475561611518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.1693140507634552}",20,0,-146.52213154022002,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
224,False,"{'a': 0.5, 'e': 0.16796494198768974}",20,16,6.849840907982311,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.16662658302554367}",20,9,7.450259398442696,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
